"","SVM_LABEL","SVM_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","TREE_LABEL","TREE_PROB","CONSENSUS_CODE","CONSENSUS_AGREE","PROBABILITY_CODE"
"25332","2",0.896777827199387,"2",0.994415278402642,"2",0.880797077977882,"2",1,"2",1,"2",0.9,2,6,2
"25333","2",0.780825646334341,"2",0.987440883254757,"2",0.880797077977882,"2",1,"2",0.785,"2",0.9,2,6,2
"25334","3",0.775934115830123,"3",0.96983670141201,"3",0.5,"3",1,"3",0.935,"3",0.873015873015873,3,6,3
"25335","3",0.925156005596745,"3",0.996093947107692,"3",0.880797077977882,"3",1,"3",0.94,"3",0.873015873015873,3,6,3
"25336","2",0.770142774716819,"2",0.555523739842922,"2",0.119202922022118,"3",0.88,"3",0.695,"3",0.873015873015873,2,3,3
"25337","3",0.610970872390891,"3",0.951378797947671,"3",0.5,"3",1,"3",0.755,"3",0.873015873015873,3,6,3
"25338","2",0.65969463796086,"2",0.965940309621344,"2",0.982013790037908,"2",0.72,"2",0.765,"2",0.9,2,6,2
"25339","2",0.954321299626585,"2",0.997373078527825,"2",0.997527376843365,"2",1,"2",0.965,"2",0.9,2,6,2
"25340","2",0.828740658939199,"2",0.987263202384156,"2",0.880797077977882,"2",0.88,"2",0.91,"2",0.9,2,6,2
"25341","2",0.532020156820826,"2",0.880423550199943,"2",0.880797077977882,"3",0.6,"2",0.475,"2",0.551020408163265,2,5,2
"25342","2",0.89421500322303,"2",0.985836189807488,"2",0.880797077977882,"2",1,"2",0.94,"2",0.9,2,6,2
"25343","2",0.903425827885677,"2",0.929083552494599,"2",0.5,"1",0.8,"2",0.53,"1",0.666666666666667,2,4,2
"25344","2",0.824581534869225,"2",0.968858009277041,"2",0.982013790037908,"2",0.8,"2",0.785,"2",0.9,2,6,2
"25345","2",0.967550263744853,"2",0.999605010270143,"2",0.982013790037908,"2",1,"2",0.9,"2",0.9,2,6,2
"25346","2",0.83527593779883,"2",0.99829256438426,"2",0.880797077977882,"2",1,"2",0.92,"2",0.9,2,6,2
"25347","3",0.717782457443211,"2",0.710493393529903,"2",0.982013790037908,"2",0.68,"2",0.555,"2",0.9,2,5,2
"25348","2",0.899522325783162,"2",0.685507600528598,"2",0.880797077977882,"2",1,"2",0.805,"2",0.9,2,6,2
"25349","4",0.612928277366364,"2",0.913422503893657,"4",0.997527376843365,"2",0.8,"2",0.45,"3",0.375,2,3,4
"25350","3",0.659419807203616,"3",0.996135607054552,"3",0.5,"3",0.96,"3",0.645,"3",0.873015873015873,3,6,3
"25351","2",0.775712096534886,"2",0.982714226291973,"2",0.982013790037908,"2",0.88,"2",0.71,"2",0.551020408163265,2,6,2
"25352","2",0.936665076160302,"2",0.999339248749682,"2",0.997527376843365,"2",0.96,"2",0.96,"2",0.9,2,6,2
"25353","2",0.698048362625779,"2",0.980149911731155,"2",0.997527376843365,"2",0.96,"2",0.675,"2",0.9,2,6,2
"25354","2",0.906748388483214,"2",0.998193524542503,"2",0.982013790037908,"2",0.96,"2",0.9,"2",0.9,2,6,2
"25355","2",0.891717012452531,"2",0.999532399239644,"2",0.982013790037908,"2",0.84,"2",0.835,"2",0.9,2,6,2
"25356","2",0.654374935925176,"3",0.926146672631011,"2",0.119202922022118,"3",0.96,"3",0.785,"3",0.873015873015873,3,4,3
"25357","3",0.568882917766603,"3",0.892564775424542,"3",0.880797077977882,"3",1,"3",0.6,"3",0.873015873015873,3,6,3
"25358","2",0.935245978566299,"2",0.985908384432443,"2",0.880797077977882,"2",0.96,"2",0.855,"2",0.9,2,6,2
"25359","2",0.900196180967374,"2",0.824298861349497,"2",0.997527376843365,"2",0.76,"2",0.735,"2",0.9,2,6,2
"25360","2",0.898283214720261,"2",0.997344471060969,"2",0.982013790037908,"2",1,"2",0.98,"2",0.9,2,6,2
"25361","2",0.86505280199976,"2",0.996718803434275,"2",0.880797077977882,"2",1,"2",0.875,"2",0.9,2,6,2
"25362","2",0.897209020125167,"2",0.99977340196449,"2",0.982013790037908,"2",1,"2",0.79,"2",0.9,2,6,2
"25363","1",0.621125937678682,"1",0.99705174566978,"2",0.982013790037908,"1",0.6,"1",0.445,"2",0.9,1,4,1
"25364","2",0.88945218052544,"2",0.998552176988394,"2",0.982013790037908,"2",1,"2",0.955,"2",0.9,2,6,2
"25365","3",0.471968491604747,"3",0.97735633763605,"3",0.5,"3",1,"3",0.845,"3",0.873015873015873,3,6,3
"25366","2",0.845528508785445,"2",0.993873076716133,"2",0.982013790037908,"2",1,"2",0.835,"2",0.9,2,6,2
"25367","2",0.837504518601901,"2",0.996207615453024,"2",0.982013790037908,"2",0.92,"2",0.885,"2",0.9,2,6,2
